,tokens
3926,"['lol', 'realli', 'need', 'rememb', 'eat', 'drink', 'appreci', 'keep', 'compani', 'night', 'babe', 'smile']"
3927,"['babe', 'lost', 'tri', 'reboot']"
3928,"['ye', 'nigh', 'cant', 'aha']"
3929,"['thk', 'got', 'ta', 'go', 'home', 'urself', 'co', 'b', 'go', 'shop', 'fren', 'present']"
3930,"['nooooooo', 'gon', 'na', 'bore', 'death', 'day', 'cabl', 'internet', 'outag']"
3931,"['so', 'amount', 'get', 'pl']"
3932,"['playin', 'space', 'poker', 'u']"
3933,"['come', 'guoyang', 'go', 'n', 'tell', 'u', 'told']"
3934,"['need', 'get']"
3935,"['r', 'give', 'second', 'chanc', 'rahul', 'dengra']"
3936,"['yeah', 'fact', 'ask', 'need', 'anyth', 'like', 'hour', 'ago', 'much']"
3937,"['first', 'strike', 'red', 'one', 'bird', 'antelop', 'begin', 'toplay', 'fieldof', 'selfindepend', 'believ', 'flower', 'content']"
3938,"['wan', 'go', 'c', 'doctor']"
3939,"['daddi', 'bb']"
3940,"['free', 'msg', 'get', 'gnarl', 'barkley', 'rington', 'total', 'free', 'repli', 'go', 'messag', 'right']"
3941,"['borderlin', 'yeah', 'whatev']"
3942,"['got', 'call', 'landlin', 'number', 'ask', 'come', 'anna', 'nagar', 'go', 'afternoon']"
3943,"['lor', 'ya', 'go', 'dinner', 'togeth']"
3944,"['gentl', 'princess', 'make', 'sweet', 'gentl', 'love']"
3945,"['u', 'doin', 'babi', 'girl', 'hope', 'u', 'okay', 'everi', 'time', 'call', 'ure', 'phone', 'miss', 'u', 'get', 'touch']"
3946,"['sorri', 'went', 'bed', 'earli', 'nightnight']"
3947,"['like', 'think', 'alway', 'possibl', 'pub', 'later']"
3948,"['hmm', 'yeah', 'groov', 'im', 'look', 'forward', 'pound', 'special']"
3949,"['got', 'video', 'tape', 'pple', 'type', 'messag', 'lor', 'u', 'free', 'wan', 'help', 'hee', 'co', 'noe', 'u', 'wan', 'watch', 'infern', 'affair', 'ask', 'u', 'along', 'ask', 'shuhui', 'oso']"
3950,"['hi', 'dude', 'hw', 'r', 'u', 'da', 'reali', 'mise', 'u', 'today']"
3951,"['hungri', 'buy', 'food', 'good', 'lei', 'mum', 'n', 'yun', 'dun', 'wan', 'juz', 'buy', 'littl', 'bit']"
3952,"['refus', 'loan', 'secur', 'unsecur', 'ca', 'get', 'credit', 'call', 'free', 'text', 'back']"
3953,"['probabl', 'wo', 'eat', 'today', 'think', 'gon', 'na', 'pop', 'weekend', 'u', 'miss']"
3954,"['knew', 'u', 'slept', 'v', 'late', 'yest', 'wake', 'late']"
3955,"['haha', 'dont', 'angri', 'take', 'practic', 'real', 'thing']"
3956,"['one', 'day', 'train']"
3957,"['could', 'kiss', 'feel', 'next']"
3958,"['nice', 'day', 'dear']"
3959,"['sent', 'lanr', 'fakey', 'eckankar', 'detail', 'mail', 'box']"
3960,"['dad', 'back', 'ph']"
3961,"['special', 'select', 'receiv', 'award', 'call', 'line', 'close', 'cost', 'cs', 'appli', 'ag', 'promo']"
3962,"['ask', 'say', 'pleas', 'messag']"
3963,"['e', 'time', 'go', 'w', 'u', 'lor']"
3964,"['love', 'aathi', 'love', 'u', 'lot']"
3965,"['callin', 'say', 'hi', 'take', 'care', 'bruv']"
3966,"['valu', 'vodafon', 'custom', 'comput', 'pick', 'win', 'prize', 'collect', 'easi', 'call']"
3967,"['u', 'turn', 'heater', 'heater', 'set', 'lt', 'gt', 'degre']"
3968,"['thank', 'messag', 'realli', 'appreci', 'sacrific', 'sure', 'process', 'direct', 'pay', 'find', 'way', 'back', 'test', 'tomorrow', 'class', 'wonder', 'day']"
3969,"['troubl', 'class', 'go', 'well', 'due', 'dodgey', 'one', 'expect', 'mine', 'tomo', 'see', 'recoveri', 'time', 'place']"
3970,"['free', 'video', 'camera', 'phone', 'half', 'price', 'line', 'rental', 'mth', 'cross', 'ntwk', 'min', 'txt', 'call']"
3971,"['wot', 'u', 'j']"
3972,"['night', 'night', 'see', 'tomorrow']"
3973,"['roger', 'probabl', 'go', 'rem']"
3974,"['u', 'think', 'girl', 'propos', 'u', 'today', 'se', 'ur', 'bloodi', 'funki', 'shit', 'fuck', 'face', 'asssssholeee']"
3975,"['wish', 'u', 'feel', 'alon']"
3976,"['great', 'new', 'offer', 'doubl', 'min', 'doubl', 'txt', 'best', 'orang', 'tariff', 'get', 'latest', 'camera', 'phone', 'free', 'call', 'free', 'cs']"
3977,"['reason', 'team', 'budget', 'avail', 'last', 'buy', 'unsold', 'player', 'base', 'rate']"
3978,"['ceri', 'u', 'rebel', 'sweet', 'dreamz', 'littl', 'buddi', 'c', 'ya', 'need', 'bloke']"
3979,['ringtonek']
3980,"['huh', 'cant', 'thk', 'oredi', 'mani', 'page']"
3981,"['fren', 'go', 'lor', 'alon', 'wif', 'mum', 'n', 'si', 'lor']"
3982,"['nationwid', 'auto', 'centr', 'someth', 'like', 'newport', 'road', 'like']"
3983,"['hey', 'miss', 'tm', 'last', 'night', 'phone', 'charg', 'smile', 'meet', 'friend', 'shortli']"
3984,"['whatev', 'juliana', 'whatev', 'want']"
3985,"['friendship', 'game', 'play', 'word', 'say', 'start', 'march', 'end', 'may', 'tomorrow', 'yesterday', 'today', 'e']"
3986,"['rington', 'club', 'new', 'poli', 'direct', 'mobil', 'everi', 'week']"
3987,"['hello', 'sort', 'town', 'alreadi', 'dont', 'rush', 'home', 'eat', 'nacho', 'let', 'know', 'eta']"
3988,"['ok', 'lor', 'anyway', 'thk', 'cant', 'get', 'ticket', 'co', 'like', 'quit', 'late', 'alreadi', 'u', 'wan', 'go', 'look', 'ur', 'fren', 'darren', 'wif']"
3989,"['bank', 'granit', 'issu', 'explos', 'pick', 'member', 'nasdaq', 'symbol', 'cdgt', 'per']"
3990,"['way', 'ur', 'home']"
3991,"['dizzamn', 'aight', 'ask', 'suitem', 'get', 'back']"
3992,"['nimbomson', 'yep', 'phone', 'know', 'one', 'obvious', 'co', 'that', 'real', 'word']"
3993,"['love', 'cuddl', 'want', 'hold', 'strong', 'arm', 'right']"
3994,"['r', 'u', 'contin']"
3995,"['pay', 'like', 'lt', 'gt', 'yr', 'difficult']"
3996,"['bore', 'housew', 'chat', 'n', 'date', 'rate', 'landlin']"
3997,"['tri', 'call', 'repli', 'sm', 'video', 'mobil', 'min', 'unlimit', 'text', 'free', 'camcord', 'repli', 'call', 'del', 'thur']"
3998,"['k', 'k', 'give', 'treat']"
3999,"['time', 'tri', 'contact', 'u', 'prize', 'claim', 'easi', 'call', 'per', 'minut']"
4000,"['gon', 'na', 'worri', 'noth', 'wo', 'give', 'money', 'use']"
4001,"['get', 'gift', 'year', 'didnt', 'get', 'anyth', 'bad']"
4002,"['somewher', 'beneath', 'pale', 'moon', 'light', 'someon', 'think', 'u', 'dream', 'come', 'true', 'goodnit', 'amp', 'sweet', 'dream']"
4003,"['well', 'pattern', 'emerg', 'friend', 'tell', 'drive', 'come', 'smoke', 'tell', 'weed', 'smoke', 'thing', 'see', 'hesit']"
4004,"['ow', 'u', 'paid', 'told', 'u', 'would', 'call']"
4005,"['im', 'fine', 'babe', 'aint', 'much', 'tho', 'saw', 'scari', 'movi', 'yest', 'quit', 'funni', 'want', 'afternoon', 'town', 'mall', 'sumthin', 'xx']"
4006,"['reach', 'home', 'min']"
4007,"['forgot', 'work', 'today', 'wan', 'na', 'chat', 'thing', 'ok', 'drop', 'text', 'free', 'bore', 'etc', 'ring', 'hope', 'well', 'nose', 'essay', 'xx']"
4008,"['ha', 'must', 'walk', 'everywher', 'take', 'tram', 'cousin', 'said', 'walk', 'vic', 'market', 'hotel']"
4009,"['win', 'westlif', 'u', 'current', 'tour', 'unbreak', 'untam', 'unkempt', 'text', 'cost', 'text']"
4010,"['pleas', 'call', 'custom', 'servic', 'repres', 'freephon', 'guarante', 'cash', 'prize']"
4011,"['discuss', 'mother', 'ah']"
4012,['ok']
4013,"['sorri', 'ca', 'text', 'amp', 'drive', 'coher', 'see', 'twenti']"
4014,"['receiv', 'week', 'tripl', 'echo', 'rington', 'shortli', 'enjoy']"
4015,"['place', 'get', 'room', 'cheap']"
4016,"['eek', 'lot', 'time', 'especi', 'sinc', 'american', 'pie', 'like', 'minut', 'long', 'ca', 'stop', 'sing']"
4017,"['onlyfound', 'afew', 'day']"
4018,"['u', 'select', 'stay', 'top', 'british', 'hotel', 'noth', 'holiday', 'valu', 'dial', 'claim', 'nation', 'rate', 'call']"
4019,"['univers', 'southern', 'california']"
4020,"['pick', 'rayan', 'macleran']"
4021,"['u', 'gd', 'lor', 'go', 'shop', 'got', 'stuff', 'u', 'wan', 'watch', 'infern', 'affair', 'come', 'lar']"
4022,"['well', 'ball', 'time', 'make', 'call']"
4023,"['wat', 'time', 'wan', 'today']"
4024,"['lt', 'gt', 'mca', 'conform']"
4025,"['oh', 'ok', 'wat', 'ur', 'email']"
4026,"['ye', 'princess', 'go', 'make', 'moan']"
4027,"['lol', 'ok', 'rememb', 'til', 'last', 'nite']"
4028,"['anyway', 'mani', 'good', 'even', 'u']"
4029,"['cool', 'text']"
4030,"['sorri', 'vikki', 'watch', 'olav', 'mandara', 'movi', 'kano', 'trishul', 'theatr', 'wit', 'frnd']"
4031,"['happi', 'babe', 'woo', 'hoo', 'parti', 'dude']"
4032,"['take', 'italian', 'food', 'pretti', 'dress', 'panti']"
4033,"['wot', 'u', 'thout', 'u', 'gon', 'na', 'call', 'txt', 'bak', 'luv', 'k']"
4034,"['chosen', 'receiv', 'award', 'pl', 'call', 'claim', 'number', 'collect', 'award', 'select', 'receiv', 'valu', 'mobil', 'custom']"
4035,['hold']
4036,"['dont', 'flatter', 'tell', 'man', 'mine', 'two', 'pint', 'carlin', 'ten', 'minut', 'pleas']"
4037,"['hope', 'scare']"
4038,"['cant', 'pick', 'phone', 'right', 'pl', 'send', 'messag']"
4039,"['home', 'n', 'readi']"
4040,"['pleas', 'call', 'custom', 'servic', 'repres', 'freephon', 'guarante', 'cash', 'prize']"
4041,"['time', 'u', 'get']"
4042,"['liter', 'bed', 'like', 'lt', 'gt', 'hour']"
4043,"['ye', 'reg', 'ciao']"
4044,"['mean', 'websit', 'ye']"
4045,"['win', 'cash', 'prize', 'prize', 'worth']"
4046,"['thank', 'rington', 'order', 'refer', 'number', 'mobil', 'charg', 'tone', 'arriv', 'pleas', 'call', 'custom', 'servic']"
4047,"['lol', 'could', 'starv', 'lose', 'pound', 'end', 'day']"
4048,"['yeah', 'impress', 'got']"
4049,"['ok', 'ok', 'take', 'care', 'understand']"
4050,"['motiv', 'behind', 'everi', 'dark', 'shine', 'light', 'wait', 'find', 'behind', 'everi', 'best', 'friend', 'alway', 'trust', 'love', 'bslvyl']"
4051,"['ya', 'ok', 'dinner']"
4052,['slept']
4053,"['dont', 'make', 'ne', 'plan', 'nxt', 'wknd', 'coz', 'want', 'us', 'come', 'ok']"
4054,"['school', 'start', 'stay', 'weather', 'like', 'food', 'social', 'support', 'system', 'like', 'friend', 'school', 'thing', 'import']"
4055,"['ha', 'ha', 'nan', 'yalrigu', 'heltini', 'iyo', 'kothi', 'chikku', 'u', 'share', 'mani', 'thing', 'wit', 'far', 'told', 'bodi', 'even', 'utter', 'word', 'abt', 'u', 'ur', 'trust', 'much', 'tell', 'other', 'plz', 'nxt', 'time', 'dont', 'use', 'word', 'ok', 'chikku']"
4056,"['noic', 'text']"
4057,"['hi', 'di', 'yiju', 'meet', 'pm', 'esaplanad', 'tonight']"
4058,"['mobi', 'pub', 'high', 'street', 'prize', 'u', 'know', 'new', 'duchess', 'cornwal', 'txt', 'first', 'name', 'stop', 'sp']"
4059,"['week', 'savamob', 'member', 'offer', 'access', 'call', 'detail', 'savamob', 'pobox', 'savamob', 'offer', 'mobil']"
4060,"['aight', 'set', 'free', 'think', 'could', 'text', 'blake', 'address', 'occur', 'quit', 'sure', 'thought']"
4061,"['hi', 'dear', 'saw', 'dear', 'happi', 'batteri', 'low']"
4062,"['age', 'abj']"
4063,"['prof', 'pass', 'paper', 'sem', 'congrat', 'student', 'enna', 'kalaachutaarama', 'prof', 'gud', 'mrng']"
4064,"['dont', 'kick', 'coco']"
4065,"['fyi', 'gon', 'na', 'call', 'sporad', 'start', 'like', 'lt', 'gt', 'bc', 'doin', 'shit']"
4066,"['contact', 'date', 'servic', 'someon', 'know', 'find', 'call', 'mobil', 'landlin']"
4067,"['chase', 'us', 'sinc', 'sept', 'definit', 'pay', 'thank', 'inform', 'ignor', 'kath', 'manchest']"
4068,"['hope', 'much', 'fun', 'without', 'see', 'u', 'tomorrow', 'love', 'jess', 'x']"
4069,"['ok', 'wont', 'call', 'disturb', 'one', 'know', 'avoid', 'burden']"
4070,"['reach', 'home', 'n', 'bath', 'liao', 'u', 'call']"
4071,"['loan', 'purpos', 'even', 'bad', 'credit', 'tenant', 'welcom', 'call']"
4072,"['actual', 'exam', 'harder', 'nbme']"
4073,"['lot', 'sick', 'thing', 'go', 'round', 'take', 'easi', 'hope', 'u', 'feel', 'better', 'soon', 'lol']"
4074,"['god', 'pick', 'flower', 'dippeditinadew', 'lovingli', 'touch', 'itwhichturnedinto', 'u', 'gift', 'tomeandsaid', 'friend']"
4075,"['kick', 'new', 'season', 'free', 'goal', 'news', 'ur', 'mobil', 'txt', 'ur', 'club', 'name', 'eg', 'villa']"
4076,"['hey', 'sathya', 'till', 'dint', 'meet', 'even', 'singl', 'time', 'saw', 'situat', 'sathya']"
4077,"['gam', 'gone', 'outstand', 'inning']"
4078,"['play', 'smash', 'bro', 'lt', 'gt', 'religi']"
4079,"['sir', 'good', 'morn', 'hope', 'good', 'weekend', 'call', 'let', 'know', 'abl', 'rais', 'lt', 'gt', 'dad', 'howev', 'said', 'would', 'make', 'rest', 'avail', 'mid', 'amount', 'still', 'quit', 'short', 'hope', 'would', 'help', 'good', 'day', 'abiola']"
4080,"['hurri', 'home', 'soup', 'done']"
4081,"['check', 'room', 'befor', 'activ']"
4082,"['good', 'afternoon', 'love', 'good', 'see', 'word', 'ym', 'get', 'tm', 'smart', 'move', 'slave', 'smile', 'drink', 'coffe', 'await']"
4083,"['quit', 'ok', 'bit', 'ex', 'u', 'better', 'go', 'eat', 'smth', 'els', 'feel', 'guilti']"
4084,"['orang', 'bring', 'rington', 'time', 'chart', 'hero', 'free', 'hit', 'week', 'go', 'rington', 'pic', 'wap', 'stop', 'receiv', 'tip', 'repli', 'stop']"
4085,"['lem', 'know']"
4086,"['privat', 'account', 'statement', 'show', 'point', 'call', 'identifi', 'code', 'expir']"
4087,"['need', 'stop', 'go', 'bed', 'make', 'fuck', 'deal']"
4088,"['love', 'brother', 'time', 'talk', 'english', 'grin', 'say', 'hey', 'muhommad', 'penni', 'say', 'hello', 'across', 'sea']"
4089,"['tri', 'call', 'repli', 'sm', 'video', 'mobil', 'min', 'unlimit', 'text', 'free', 'camcord', 'repli', 'call']"
4090,"['hey', 'doc', 'pl', 'want', 'get', 'nice', 'shirt', 'hubbi', 'nice', 'fite', 'one', 'budget', 'lt', 'gt', 'k', 'help', 'pl', 'load', 'card', 'abi', 'hw', 'keep', 'post', 'luv', 'mj']"
4091,"['remain', 'unconvinc', 'elabor', 'test', 'willpow']"
4092,"['noth', 'wen', 'v', 'get', 'life', 'everyth', 'wen', 'v', 'miss', 'someth', 'real', 'valu', 'peopl', 'wil', 'realiz', 'absenc', 'gud', 'mrng']"
4093,['miss']
4094,"['ai', 'answerin', 'phone', 'actual', 'pretti', 'reason', 'hour', 'sleepi']"
4095,"['hey', 'rite', 'u', 'put', 'evey', 'mnth']"
4096,"['go', 'bed', 'prin']"
4097,"['think', 'see', 'tomo']"
4098,"['u', 'dun', 'drive', 'go', 'sch']"
4099,"['home', 'lei']"
4100,"['gsoh', 'good', 'spam', 'ladi', 'u', 'could', 'b', 'male', 'gigolo', 'join', 'uk', 'fastest', 'grow', 'men', 'club', 'repli', 'oncal', 'mjzgroup', 'repli', 'stop', 'msg']"
4101,"['ok', 'come', 'ur', 'home', 'half', 'hour']"
4102,"['u', 'secret', 'admir', 'look', 'make', 'contact', 'r', 'reveal', 'think', 'ur']"
4103,"['u', 'hav', 'frnd', 'name', 'ashwini', 'ur', 'colleg']"
4104,"['ju', 'finish', 'lunch', 'way', 'home', 'lor', 'tot', 'u', 'dun', 'wan', 'stay', 'sch', 'today']"
4105,"['k', 'come', 'class']"
4106,"['hot', 'live', 'fantasi', 'call', 'per', 'min', 'ntt', 'ltd', 'po', 'box', 'croydon', 'nation', 'rate', 'call']"
4107,"['pl', 'send', 'address', 'sir']"
4108,"['want', 'lick', 'pussi']"
4109,"['yo', 'gon', 'na', 'still', 'stock', 'tri', 'get', 'dubsack']"
4110,"['urgent', 'mobil', 'number', 'award', 'ukp', 'prize', 'guarante', 'call', 'landlin', 'claim', 'valid']"
4111,"['see', 'prolli', 'yeah']"
4112,"['thought', 'could', 'go', 'dinner', 'treat', 'seem', 'ok']"
4113,"['stand', 'away', 'heart', 'ach', 'without', 'wonder', 'crave']"
4114,"['sorri', 'never', 'hear', 'unless', 'book', 'one', 'kinda', 'joke', 'thet', 'realli', 'look', 'skinni', 'white', 'girl', 'one', 'line', 'much', 'camera', 'someth', 'like', 'cast', 'look']"
4115,[]
4116,"['sure', 'thing', 'big', 'man', 'hockey', 'elect', 'go', 'longer', 'hour', 'though']"
4117,"['watch', 'lor', 'saw', 'swatch', 'one', 'thk', 'quit', 'ard', 'need', 'opinion', 'leh']"
4118,"['hiya', 'u', 'like', 'hlday', 'pic', 'look', 'horribl', 'took', 'mo', 'how', 'camp', 'amrca', 'thing', 'speak', 'soon', 'serena']"
4119,"['babe', 'goe', 'day', 'miss', 'alreadi', 'love', 'love', 'kiss', 'hope', 'everyth', 'goe', 'well']"
4120,"['yunni', 'goin', 'late']"
4121,"['doc', 'prescrib', 'morphin', 'caus', 'pain', 'med', 'enough', 'wait', 'mom', 'bring', 'med', 'kick', 'fast', 'gon', 'na', 'tri', 'later']"
4122,"['cool', 'want', 'go', 'kappa', 'meet', 'outsid', 'mu']"
4123,"['hey', 'sexi', 'bun', 'told', 'ador', 'loverboy', 'hope', 'rememb', 'thank', 'sister', 'law', 'meatbal', 'grin', 'love', 'babe']"
4124,"['may', 'b', 'approv', 'panalam', 'post']"
4125,"['spjanuari', 'male', 'sale', 'hot', 'gay', 'chat', 'cheaper', 'call', 'nation', 'rate', 'cheap', 'peak', 'stop', 'text', 'call']"
4126,"['sorri', 'call', 'later']"
4127,"['dont', 'thnk', 'wrong', 'call', 'us']"
4128,"['workin', 'get', 'job']"
4129,"['done', 'mean']"
4130,"['ur', 'luck', 'love', 'someon', 'ur', 'fortun', 'love', 'one', 'love']"
4131,"['hi', 'babi', 'ive', 'got', 'back', 'work', 'want', 'see', 'u', 'allday', 'hope', 'didnt', 'piss', 'u', 'phone', 'today', 'u', 'give', 'call', 'xxx']"
4132,"['freemsg', 'today', 'day', 'readi', 'horni', 'live', 'town', 'love', 'sex', 'fun', 'game', 'netcollex', 'ltd', 'per', 'msg', 'repli', 'stop', 'end']"
4133,"['yahoo', 'boy', 'bring', 'perf', 'legal']"
4134,"['need', 'say', 'anyth', 'know', 'outsid']"
4135,"['ever', 'one', 'foot']"
4136,"['got', 'lt', 'gt']"
4137,"['good', 'need', 'done', 'ye', 'pleas', 'tell', 'number', 'could', 'ring']"
4138,"['ever', 'green', 'quot', 'ever', 'told', 'jerri', 'cartoon', 'person', 'irrit', 'u', 'alway', 'one', 'love', 'u', 'vri', 'much', 'fail', 'express', 'gud', 'nyt']"
4139,"['leav', 'wif', 'lar', 'wan', 'carri', 'meh', 'heavi', 'da', 'num', 'familiar']"
4140,"['beauti', 'truth', 'express', 'face', 'could', 'seen', 'everyon', 'depress', 'heart', 'could', 'understood', 'love', 'one', 'gud']"
4141,"['infact', 'happi', 'new', 'year', 'see']"
4142,"['simpson', 'movi', 'releas', 'juli', 'name', 'band', 'die', 'start', 'film', 'day', 'day', 'day', 'send', 'b', 'c']"
4143,"['shame', 'mayb', 'cld', 'meet', 'hr', 'tomo']"
4144,"['lol', 'would', 'despit', 'cramp', 'like', 'girl']"
4145,"['wait', 'cornwal', 'hope', 'tonight', 'bad', 'well', 'rock', 'night', 'shite', 'anyway', 'go', 'kip', 'good', 'night', 'speak', 'soon']"
4146,"['pl', 'help', 'tell', 'sura', 'expect', 'batteri', 'hont', 'pl', 'send', 'messag', 'download', 'movi', 'thank']"
4147,"['pleas', 'call', 'amanda', 'regard', 'renew', 'upgrad', 'current', 'handset', 'free', 'charg', 'offer', 'end', 'today', 'tel', 'subject', 'c']"
4148,"['found', 'way', 'get', 'anoth', 'app', 'phone', 'eh', 'go', 'net', 'cafe', 'take', 'job', 'geeee', 'need', 'babe', 'crave', 'see']"
4149,"['work', 'mon', 'thur', 'sat', 'cant', 'leh', 'book', 'liao', 'day', 'u', 'free']"
4150,"['comin', 'fetch', 'us', 'oredi']"
4151,"['nanni', 'address']"
4152,"['urgent', 'costa', 'del', 'sol', 'holiday', 'await', 'collect', 'call', 'toclaim', 'sae', 'tc', 'stockport']"
4153,"['haf', 'u', 'eaten', 'wat', 'time', 'u', 'wan', 'come']"
4154,"['want', 'new', 'video', 'phone', 'anytim', 'network', 'min', 'half', 'price', 'line', 'rental', 'free', 'text', 'month', 'repli', 'call', 'free', 'deliveri']"
4155,"['yo', 'call', 'get', 'chanc', 'friend', 'mine', 'want', 'ask', 'big', 'order']"
4156,"['singl', 'singl', 'answer', 'fight', 'plu', 'said', 'broke', 'didnt', 'repli']"
4157,"['certainli', 'put', 'thing', 'perspect', 'someth', 'like', 'happen']"
4158,"['got', 'tv', 'watch', 'meh', 'u', 'work', 'today']"
4159,"['felt', 'convey', 'reason', 'ese']"
4160,"['mobil', 'month', 'u', 'r', 'entitl', 'updat', 'latest', 'colour', 'mobil', 'camera', 'free', 'call', 'mobil', 'updat', 'co', 'free']"
4161,"['go', 'got', 'excit', 'karaok', 'type', 'activ', 'plan', 'debat', 'whether', 'play', 'footbal', 'eve', 'feel', 'lazi', 'though']"
4162,"['told', 'come', 'wednesday']"
4163,"['ok', 'call', 'mom', 'instead', 'fun']"
4164,"['dear', 'voucher', 'holder', 'claim', 'week', 'offer', 'pc', 'pleas', 'go', 'ts', 'cs', 'appli']"
4165,"['well', 'desper', 'call', 'armand']"
4166,"['work', 'right']"
4167,"['congrat', 'nokia', 'video', 'camera', 'phone', 'call', 'call', 'cost', 'ave', 'call', 'vari', 'mobil', 'close', 'post', 'ldn']"
4168,"['heard', 'anyth', 'answer', 'text', 'guess', 'flake', 'said', 'jb', 'fantast']"
4169,"['mmmmmm', 'love', 'much', 'ahmad', 'ca', 'wait', 'year', 'begin', 'everi', 'second', 'take', 'closer', 'side', 'happi', 'new', 'year', 'love']"
4170,"['pl', 'full', 'name', 'joke', 'school', 'co', 'fee', 'univers', 'florida', 'seem', 'actual', 'lt', 'gt', 'pl', 'holla', 'back']"
4171,"['sorri', 'call', 'later']"
4172,"['ok', 'said', 'got', 'wisdom', 'teeth', 'hidden', 'insid', 'n', 'mayb', 'need', 'remov']"
4173,"['pl', 'pl', 'drink', 'plenti', 'plenti', 'water']"
4174,"['queen', 'go', 'royal', 'wed']"
4175,"['lag', 'sad', 'part', 'keep', 'touch', 'thank', 'skype']"
4176,"['ok', 'lor', 'go', 'tog', 'lor']"
4177,"['two', 'team', 'wait', 'player']"
4178,"['send', 'copi', 'da', 'report']"
4179,"['swhrt', 'u', 'dey', 'hope', 'ur', 'ok', 'tot', 'u', 'n', 'care']"
4180,"['ok', 'da', 'alreadi', 'plan', 'wil', 'pick']"
4181,"['urgent', 'pleas', 'call', 'abta', 'complimentari', 'spanish', 'holiday', 'cash', 'await', 'collect', 'sae', 'cs', 'box']"
4182,"['sorri', 'call', 'later', 'meet']"
4183,"['realli', 'need', 'shit', 'tomorrow', 'know', 'wo', 'awak', 'like']"
4184,"['good', 'regist', 'vote']"
4185,"['hmm', 'ok', 'stay', 'like', 'hour', 'co', 'eye', 'realli', 'sore']"
4186,"['dear', 'got', 'bu', 'directli', 'calicut']"
4187,"['mm', 'umma', 'ask', 'vava', 'also', 'come', 'tell', 'play', 'later', 'togeth']"
4188,"['well', 'gener', 'price', 'lt', 'gt', 'let', 'know', 'much', 'want']"
4189,"['sorri', 'call', 'later']"
4190,"['moment', 'day', 'bring', 'hope', 'afternoon', 'bring', 'faith', 'even', 'bring', 'luv', 'night', 'bring', 'rest', 'wish', 'u', 'find', 'morn']"
4191,"['lt', 'gt', 'w', 'jetton', 'ave', 'forgot']"
4192,"['ok', 'come', 'home']"
4193,"['use', 'foreign', 'stamp', 'countri']"
4194,"['doubl', 'min', 'txt', 'free', 'bluetooth', 'orang', 'avail', 'soni', 'nokia', 'motorola', 'phone', 'call']"
4195,"['sorri', 'lot', 'stuff', 'talk', 'actual', 'guy', 'want', 'buy']"
4196,"['free', 'week', 'nokia', 'tone', 'ur', 'mob', 'everi', 'week', 'txt', 'nokia', 'get', 'txting', 'tell', 'ur', 'mate', 'pobox']"
4197,"['want', 'funk', 'ur', 'fone', 'weekli', 'new', 'tone', 'repli', 'text', 'origin', 'n', 'best', 'tone', 'network', 'oper', 'rate', 'appli']"
4198,"['cmon', 'babe', 'make', 'horni', 'turn', 'txt', 'fantasi', 'babe', 'im', 'hot', 'sticki', 'need', 'repli', 'cost', 'cancel', 'send', 'stop']"
4199,"['come', 'tomorrow', 'di']"
4200,"['wyli', 'updat', 'weed', 'dealer', 'carlo', 'went', 'freedom', 'class', 'lunsford']"
4201,"['happi', 'babi', 'alright', 'take', 'job', 'hope', 'fine', 'send', 'kiss', 'make', 'smile', 'across', 'sea', 'kiss', 'kiss']"
4202,"['c', 'movi', 'juz', 'last', 'minut', 'decis', 'mah', 'juz', 'watch', 'lar', 'tot', 'interest']"
4203,"['enjoy', 'semest', 'take', 'care', 'brother']"
4204,"['import', 'inform', 'orang', 'user', 'today', 'ur', 'lucki', 'day', 'find', 'log', 'onto', 'fantast', 'prizeawait']"
4205,"['get', 'door']"
4206,"['let', 'use', 'next', 'week', 'princess']"
4207,"['go', 'home', 'first', 'lar', 'wait', 'lor', 'put', 'stuff', 'first']"
4208,"['want', 'kfc', 'tuesday', 'buy', 'meal', 'gravi', 'mark']"
4209,"['da', 'stupid', 'da', 'alway', 'send', 'like', 'believ', 'mental']"
4210,"['oi', 'gon', 'na', 'ring']"
4211,"['miss', 'call', 'alert', 'number', 'call', 'left', 'messag']"
4212,"['attend', 'noth']"
4213,"['ard', 'like', 'dat', 'lor', 'juz', 'meet', 'mrt', 'station', 'dun', 'haf', 'come']"
4214,"['dear', 'sleep']"
4215,"['er', 'mw', 'im', 'fill', 'tuth', 'aight']"
4216,"['offic', 'around', 'pm', 'go', 'hospit']"
4217,"['actual', 'wait', 'week', 'start', 'put', 'ad']"
4218,"['anyth', 'lor', 'go', 'go', 'lor']"
4219,"['u', 'free', 'sat', 'rite', 'u', 'wan', 'watch', 'infern', 'affair', 'wif', 'n', 'darren', 'n', 'mayb', 'xy']"
4220,"['plz', 'note', 'anyon', 'call', 'mobil', 'amp', 'ask', 'u', 'type', 'lt', 'gt', 'lt', 'gt', 'disconnect', 'call', 'coz', 'iz', 'attempt', 'make', 'use', 'sim', 'card', 'itz', 'confirmd', 'nokia', 'n', 'motorola', 'n', 'verifi', 'cnn', 'ibn']"
4221,"['yo', 'around', 'friend', 'mine', 'lookin', 'pick', 'later', 'tonight']"
4222,"['stupid', 'auto', 'correct', 'phone']"
4223,"['doubl', 'evict', 'week', 'spiral', 'michael', 'good', 'riddanc']"
4224,"['world', 'suffer', 'lot', 'violenc', 'bad', 'peopl', 'silenc', 'good', 'peopl']"
